timestamp;date;gps_x;gps_y;wifi_ssid;wifi_rssi;wifi_ap;bt_name;bt_rssi;bt_mac;app1_id;app1_name;app1_log;app1_pwc;app2_id;app2_name;app2_log;app2_pwc;app3_id;app3_name;app3_log;app3_pwc;app4_id;app4_name;app4_log;app4_pwc;app5_id;app5_name;app5_log;app5_pwc;label
30;08.07;458587825;198485080;vajda_Apart;-20;109.122.64.0;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;7;4;742;com.youtube;0;1;743;com.tiktok;3;2;867;com.gmail;1;1;965;com.instagram;0;0;0
300100;08.07;458587825;198485080;vajda_Apart;-20;109.122.64.0;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;6;8;742;com.youtube;3;5;743;com.tiktok;4;2;867;com.gmail;2;1;965;com.instagram;0;0;0
1000130;08.07;458587825;198485080;vajda_Apart;-20;109.122.64.0;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;3;1;742;com.youtube;0;1;743;com.tiktok;2;1;867;com.gmail;0;1;965;com.instagram;0;0;0
1300200;08.07;458587825;198485080;vajda_Apart;-20;109.122.64.0;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;2;2;742;com.youtube;8;4;743;com.tiktok;0;1;867;com.gmail;0;1;965;com.instagram;0;0;0
2000230;08.07;458587825;198485080;vajda_Apart;-20;109.122.64.0;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;0;1;742;com.youtube;1;1;743;com.tiktok;0;1;867;com.gmail;0;1;965;com.instagram;0;0;0
2300300;08.07;458587825;198485080;vajda_Apart;-20;109.122.64.0;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;0;1;742;com.youtube;0;0;743;com.tiktok;1;1;867;com.gmail;0;1;965;com.instagram;0;0;0
3000330;08.07;453854765;198308520;QND_CENEJ;-70;139.138.249.0;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;0;0;742;com.youtube;0;1;743;com.tiktok;0;0;867;com.gmail;0;1;965;com.instagram;1;1;0
3300400;08.07;453854765;198308520;QND_CENEJ;-70;139.138.249.0;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;0;0;742;com.youtube;0;1;743;com.tiktok;0;0;867;com.gmail;0;1;965;com.instagram;1;2;0
4000430;08.07;456680431;206049517;0;0;0;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;0;0;742;com.youtube;0;1;743;com.tiktok;0;0;867;com.gmail;0;1;965;com.instagram;0;0;0
4300500;08.07;458122769;213173175;AIT_tv;-70;117.11.46.112;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;3;3;742;com.youtube;0;1;743;com.tiktok;0;0;867;com.gmail;0;1;965;com.instagram;0;0;0
5000530;08.07;458104498;213200207;AIT_tv;-40;117.11.46.112;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;3;3;742;com.youtube;0;1;743;com.tiktok;0;0;867;com.gmail;0;1;965;com.instagram;0;0;0
5300600;08.07;457649095;212594455;0;0;0;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;0;0;742;com.youtube;0;1;743;com.tiktok;0;0;867;com.gmail;1;1;965;com.instagram;0;0;0
6000630;08.07;457552087;212324079;H-CONT-TM;-50;192.188.0.55;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;1;1;742;com.youtube;1;1;743;com.tiktok;0;1;867;com.gmail;0;1;965;com.instagram;0;0;0
6300700;08.07;457552087;212324079;H-CONT-TM;-50;192.188.0.55;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;1;0;742;com.youtube;1;0;743;com.tiktok;0;1;867;com.gmail;0;1;965;com.instagram;0;0;0
7000730;08.07;457552087;212324079;H-CONT-TM;-50;192.188.0.55;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;2;1;742;com.youtube;2;1;743;com.tiktok;0;1;867;com.gmail;0;1;965;com.instagram;0;0;0
7300800;08.07;457552087;212324079;H-CONT-TM;-40;192.188.0.55;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;2;2;742;com.youtube;3;3;743;com.tiktok;0;1;867;com.gmail;0;1;965;com.instagram;0;0;0
8000830;08.07;457552087;212324079;H-CONT-TM;-40;192.188.0.55;rayman-blsu;-10;FB-C1-76-FC-E8-DB;467;com.discord;3;1;742;com.youtube;0;1;743;com.tiktok;2;2;867;com.gmail;0;1;965;com.instagram;6;11;0
