timestamp;date;gps_x;gps_y;wifi_ssid;wifi_rssi;wifi_ap;bt_name;bt_rssi;bt_mac;app1_id;app1_name;app1_log;app1_pwc;app2_id;app2_name;app2_log;app2_pwc;app3_id;app3_name;app3_log;app3_pwc;app4_id;app4_name;app4_log;app4_pwc;app5_id;app5_name;app5_log;app5_pwc;label
30;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;8;3;101;com.gmail;0;1;103;com.youtube;1;2;102;com.spotify;0;1;120;com.maps;0;0;1
300100;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;2;3;101;com.gmail;0;0;103;com.youtube;0;0;102;com.spotify;3;3;120;com.maps;0;0;1
1000130;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;2;2;101;com.gmail;0;0;103;com.youtube;0;0;102;com.spotify;0;0;120;com.maps;1;1;1
1300200;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;0;1;101;com.gmail;0;1;103;com.youtube;0;0;102;com.spotify;0;0;120;com.maps;0;0;1
2000230;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;0;1;101;com.gmail;0;1;103;com.youtube;0;0;102;com.spotify;0;0;120;com.maps;0;0;1
2300300;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;0;1;101;com.gmail;0;1;103;com.youtube;0;0;102;com.spotify;0;0;120;com.maps;0;0;1
3000330;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;0;1;101;com.gmail;0;1;103;com.youtube;0;0;102;com.spotify;0;0;120;com.maps;0;0;1
3300400;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;0;1;101;com.gmail;0;1;103;com.youtube;0;0;102;com.spotify;0;0;120;com.maps;0;0;1
4000430;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;0;1;101;com.gmail;0;1;103;com.youtube;0;0;102;com.spotify;0;0;120;com.maps;0;0;1
4300500;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;0;1;101;com.gmail;0;1;103;com.youtube;0;0;102;com.spotify;0;0;120;com.maps;0;0;1
5000530;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;0;1;101;com.gmail;0;1;103;com.youtube;0;0;102;com.spotify;0;0;120;com.maps;0;0;1
5300600;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;0;1;101;com.gmail;0;1;103;com.youtube;0;0;102;com.spotify;0;0;120;com.maps;0;0;1
6000630;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;0;1;101;com.gmail;0;1;103;com.youtube;0;0;102;com.spotify;0;0;120;com.maps;0;0;1
6300700;05.05;457644289;212595363;dlink6006;-40;192.160.4.22;6032_xiaomi;-30;94-DE-80-0B-95-31;100;com.google.chrome;0;1;101;com.gmail;0;1;103;com.youtube;0;0;102;com.spotify;0;0;120;com.maps;0;0;1
